"country","medianIncome","meanIncome","gdpPerCapitaPPP","pop2021"
"Tonga","2782","3677","6665","106.7600"
"Trinidad and Tobago","2868","3711","27334","1403.3750"
"Tunisia","3366","4076","11231","11935.7660"
"Turkey","5251","7267","28133","85042.7380"
"Turkmenistan","706","963","15206","6117.9240"
"Tuvalu","2099","2802","4470","11.9310"
"Uganda","804","1166","2284","47123.5310"
"Ukraine","4434","5010","13341","43466.8190"
"United Arab Emirates","24292","27017","70089","9991.0890"
"United Kingdom","14793","18133","49931","68207.1160"
"United States","19306","25332","65297","332915.0730"
"Uruguay","7533","9888","22515","3485.1510"
"Uzbekistan","591","752","7308","33935.7630"
"Vanuatu","1379","1781","3292","314.4640"
"Venezuela","2710","3741","17527","28704.9540"
"Vietnam","3149","3881","8397","98168.8330"
"Yemen","1150","1503","3688","30490.6400"
"Zambia","545","1045","3624","18920.6510"
"Zimbabwe","932","1429","2961","15092.1710"
