Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","161.408509","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","162.290516","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","164.635597","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","167.428552","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","171.298184","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","174.230959","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","177.674804","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","123.078737","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","124.878711","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","123.415175","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","123.897542","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","122.563514","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","122.936627","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","124.847935","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","125.80604","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","127.076032","A","Aggregate, may include official, semi-official, estimated or calculated data",""
