Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","3","Albania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","112.98351","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.740393","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","110.168888","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","108.438542","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","111.126101","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","111.709895","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","114.008258","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","113.824179","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","109.863842","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","109.216934","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","111.594188","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","115.42304","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","113.571727","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.340313","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.489916","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","108.212685","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","108.489916","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","110.060895","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","110.245716","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","110.153305","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","109.876074","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","109.876074","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","110.338126","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","110.338126","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","110.060895","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","109.691253","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","257.200001","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","262.614504","X","International reliable sources","base year is 2015"
