Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2020-12-31,Afghanistan,Afghani,Afghanistan-Afghani,77.09,null,1,2021,1,2020,4,12,31
2020-12-31,Albania,Lek,Albania-Lek,100.35,null,2,2021,1,2020,4,12,31
2020-12-31,Algeria,Dinar,Algeria-Dinar,132.212,null,3,2021,1,2020,4,12,31
2020-12-31,Angola,Kwanza,Angola-Kwanza,649.6,null,4,2021,1,2020,4,12,31
2020-12-31,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,null,5,2021,1,2020,4,12,31
2020-12-31,Argentina,Peso,Argentina-Peso,89.25,null,6,2021,1,2020,4,12,31
2020-12-31,Armenia,Dram,Armenia-Dram,515.0,null,7,2021,1,2020,4,12,31
2020-12-31,Australia,Dollar,Australia-Dollar,1.294,null,8,2021,1,2020,4,12,31
2020-12-31,Azerbaijan,Manat,Azerbaijan-Manat,1.7,null,9,2021,1,2020,4,12,31
2020-12-31,Bahamas,Dollar,Bahamas-Dollar,1.0,null,10,2021,1,2020,4,12,31
2020-12-31,Bahrain,Dinar,Bahrain-Dinar,0.377,null,11,2021,1,2020,4,12,31
2020-12-31,Bangladesh,Taka,Bangladesh-Taka,85.0,null,12,2021,1,2020,4,12,31
2020-12-31,Barbados,Dollar,Barbados-Dollar,2.02,null,13,2021,1,2020,4,12,31
2020-12-31,Belarus,New Ruble,Belarus-New Ruble,2.598,null,14,2021,1,2020,4,12,31
2020-12-31,Belize,Dollar,Belize-Dollar,2.0,null,15,2021,1,2020,4,12,31
2020-12-31,Benin,CFA Franc,Benin-CFA Franc,529.0,null,16,2021,1,2020,4,12,31
2020-12-31,Bermuda,Dollar,Bermuda-Dollar,1.0,null,17,2021,1,2020,4,12,31
2020-12-31,Bolivia,Boliviano,Bolivia-Boliviano,6.81,null,18,2021,1,2020,4,12,31
2020-12-31,Bosnia,Marka,Bosnia-Marka,1.594,null,19,2021,1,2020,4,12,31
2020-12-31,Botswana,Pula,Botswana-Pula,10.799,null,20,2021,1,2020,4,12,31
2020-12-31,Brazil,Real,Brazil-Real,5.194,null,21,2021,1,2020,4,12,31
2020-12-31,Brunei,Dollar,Brunei-Dollar,1.322,null,22,2021,1,2020,4,12,31
2020-12-31,Bulgaria,Lev New,Bulgaria-Lev New,1.594,null,23,2021,1,2020,4,12,31
2020-12-31,Burkina Faso,CFA Franc,Burkina Faso-CFA Franc,529.0,null,24,2021,1,2020,4,12,31
2020-12-31,Burma,Kyat,Burma-Kyat,1326.0,null,25,2021,1,2020,4,12,31
2020-12-31,Burundi,Franc,Burundi-Franc,1930.61,null,26,2021,1,2020,4,12,31
2020-12-31,Cambodia,Riel,Cambodia-Riel,4051.0,null,27,2021,1,2020,4,12,31
2020-12-31,Cameroon,CFA Franc,Cameroon-CFA Franc,529.26,null,28,2021,1,2020,4,12,31
2020-12-31,Canada,Dollar,Canada-Dollar,1.275,null,29,2021,1,2020,4,12,31
2020-12-31,Cape Verde,Escudo,Cape Verde-Escudo,89.83,null,30,2021,1,2020,4,12,31
2020-12-31,Cayman Island,Dollar,Cayman Island-Dollar,0.82,null,31,2021,1,2020,4,12,31
2020-12-31,Central African Rep.,CFA Franc,Central African Rep.-CFA Franc,529.26,null,32,2021,1,2020,4,12,31
2020-12-31,Chad,CFA Franc,Chad-CFA Franc,529.26,null,33,2021,1,2020,4,12,31
2020-12-31,Chile,Peso,Chile-Peso,709.75,null,34,2021,1,2020,4,12,31
2020-12-31,China,Renminbi,China-Renminbi,6.54,null,35,2021,1,2020,4,12,31
2020-12-31,Colombia,Peso,Colombia-Peso,3414.5,null,36,2021,1,2020,4,12,31
2020-12-31,Comoros,Franc,Comoros-Franc,400.62,null,37,2021,1,2020,4,12,31
2020-12-31,Congo,CFA Franc,Congo-CFA Franc,529.26,null,38,2021,1,2020,4,12,31
2020-12-31,Costa Rica,Colon,Costa Rica-Colon,609.1,null,39,2021,1,2020,4,12,31
2020-12-31,Cote D'ivoire,CFA Franc,Cote D'ivoire-CFA Franc,529.0,null,40,2021,1,2020,4,12,31
2020-12-31,Croatia,KUNA,Croatia-KUNA,5.95,null,41,2021,1,2020,4,12,31
2020-12-31,Cuba,Chavito,Cuba-Chavito,1.0,null,42,2021,1,2020,4,12,31
2020-12-31,Czech. Republic,Koruna,Czech. Republic-Koruna,20.754,null,43,2021,1,2020,4,12,31
2020-12-31,Dem. Rep. of Congo,Franc,Dem. Rep. of Congo-Franc,1966.48,null,44,2021,1,2020,4,12,31
2020-12-31,Denmark,Krone,Denmark-Krone,6.065,null,45,2021,1,2020,4,12,31
2020-12-31,Djibouti,Franc,Djibouti-Franc,177.0,null,46,2021,1,2020,4,12,31
2020-12-31,Dominican Republic,Peso,Dominican Republic-Peso,58.14,null,47,2021,1,2020,4,12,31
